iteration,episode_reward_mean,episode_len_mean,timesteps_total,time_total_s,lr,gamma,train_batch_size,minibatch_size,num_sgd_iter,num_drones,num_obstacles,max_steps,seed
1,-683.339288,119.029412,4096,42.980150,0.00030000,0.990000,4096,512,2,3,4,120,7
2,-598.957239,110.739726,8192,69.330926,0.00030000,0.990000,4096,512,2,3,4,120,7
3,-563.115887,107.620000,12288,94.927001,0.00030000,0.990000,4096,512,2,3,4,120,7
4,-533.575682,106.470000,16384,119.261826,0.00030000,0.990000,4096,512,2,3,4,120,7
5,-528.156086,105.010000,20480,143.918155,0.00030000,0.990000,4096,512,2,3,4,120,7
6,-547.319793,109.050000,24576,169.050004,0.00030000,0.990000,4096,512,2,3,4,120,7
7,-571.470960,112.720000,28672,193.629199,0.00030000,0.990000,4096,512,2,3,4,120,7
8,-551.174192,111.930000,32768,221.280036,0.00030000,0.990000,4096,512,2,3,4,120,7
9,-539.187280,113.650000,36864,252.802011,0.00030000,0.990000,4096,512,2,3,4,120,7
10,-498.934932,111.040000,40960,282.857810,0.00030000,0.990000,4096,512,2,3,4,120,7
11,-491.641770,110.120000,45056,321.997252,0.00030000,0.990000,4096,512,2,3,4,120,7
12,-463.979331,106.530000,49152,369.878186,0.00030000,0.990000,4096,512,2,3,4,120,7
13,-465.003768,108.590000,53248,457.659439,0.00030000,0.990000,4096,512,2,3,4,120,7
14,-453.587284,107.380000,57344,536.063848,0.00030000,0.990000,4096,512,2,3,4,120,7
15,-428.720262,105.580000,61440,654.674162,0.00030000,0.990000,4096,512,2,3,4,120,7
16,-414.164469,104.110000,65536,729.579794,0.00030000,0.990000,4096,512,2,3,4,120,7
17,-396.273197,103.100000,69632,797.327425,0.00030000,0.990000,4096,512,2,3,4,120,7
18,-381.189268,103.560000,73728,862.390208,0.00030000,0.990000,4096,512,2,3,4,120,7
19,-354.847775,100.960000,77824,950.692814,0.00030000,0.990000,4096,512,2,3,4,120,7
20,-329.286046,98.690000,81920,1007.797522,0.00030000,0.990000,4096,512,2,3,4,120,7
21,-317.814600,100.000000,86016,1099.614733,0.00030000,0.990000,4096,512,2,3,4,120,7
22,-327.955141,99.680000,90112,1155.668009,0.00030000,0.990000,4096,512,2,3,4,120,7
23,-327.642283,95.940000,94208,1206.993423,0.00030000,0.990000,4096,512,2,3,4,120,7
24,-341.716628,97.870000,98304,1260.291210,0.00030000,0.990000,4096,512,2,3,4,120,7
25,-351.852653,98.940000,102400,1330.673007,0.00030000,0.990000,4096,512,2,3,4,120,7
26,-331.666950,98.370000,106496,1402.328311,0.00030000,0.990000,4096,512,2,3,4,120,7
27,-316.688509,99.500000,110592,1473.666611,0.00030000,0.990000,4096,512,2,3,4,120,7
28,-310.311008,96.130000,114688,1540.667226,0.00030000,0.990000,4096,512,2,3,4,120,7
29,-312.179616,97.660000,118784,1607.574366,0.00030000,0.990000,4096,512,2,3,4,120,7
30,-320.994277,103.480000,122880,1672.240485,0.00030000,0.990000,4096,512,2,3,4,120,7
