iteration,episode_reward_mean,episode_len_mean,timesteps_total,time_total_s,lr,gamma,train_batch_size,minibatch_size,num_sgd_iter,num_drones,num_obstacles,max_steps,seed
1,0.000000,0.000000,4096,39.966983,0.00030000,0.990000,4096,512,2,3,4,120,7
2,0.000000,0.000000,8192,61.462568,0.00030000,0.990000,4096,512,2,3,4,120,7
3,0.000000,0.000000,12288,81.609439,0.00030000,0.990000,4096,512,2,3,4,120,7
4,0.000000,0.000000,16384,101.716093,0.00030000,0.990000,4096,512,2,3,4,120,7
5,0.000000,0.000000,20480,121.765537,0.00030000,0.990000,4096,512,2,3,4,120,7
6,0.000000,0.000000,24576,147.611597,0.00030000,0.990000,4096,512,2,3,4,120,7
7,0.000000,0.000000,28672,178.006591,0.00030000,0.990000,4096,512,2,3,4,120,7
8,0.000000,0.000000,32768,204.803489,0.00030000,0.990000,4096,512,2,3,4,120,7
9,0.000000,0.000000,36864,233.062042,0.00030000,0.990000,4096,512,2,3,4,120,7
10,0.000000,0.000000,40960,267.058395,0.00030000,0.990000,4096,512,2,3,4,120,7
11,0.000000,0.000000,45056,311.072778,0.00030000,0.990000,4096,512,2,3,4,120,7
12,0.000000,0.000000,49152,364.619211,0.00030000,0.990000,4096,512,2,3,4,120,7
13,0.000000,0.000000,53248,424.544871,0.00030000,0.990000,4096,512,2,3,4,120,7
14,0.000000,0.000000,57344,493.882018,0.00030000,0.990000,4096,512,2,3,4,120,7
15,0.000000,0.000000,61440,565.760101,0.00030000,0.990000,4096,512,2,3,4,120,7
16,0.000000,0.000000,65536,658.659623,0.00030000,0.990000,4096,512,2,3,4,120,7
17,0.000000,0.000000,69632,790.899769,0.00030000,0.990000,4096,512,2,3,4,120,7
18,0.000000,0.000000,73728,926.884737,0.00030000,0.990000,4096,512,2,3,4,120,7
19,0.000000,0.000000,77824,1054.287005,0.00030000,0.990000,4096,512,2,3,4,120,7
20,0.000000,0.000000,81920,1168.068991,0.00030000,0.990000,4096,512,2,3,4,120,7
