iteration,episode_reward_mean,episode_len_mean,timesteps_total,time_total_s,lr,gamma,train_batch_size,minibatch_size,num_sgd_iter,num_drones,num_obstacles,max_steps,seed
1,nan,nan,0,66.764634,0.00030000,0.990000,4000,128,10,3,8,400,7
2,nan,nan,0,68.683451,0.00030000,0.990000,4000,128,10,3,8,400,7
3,nan,nan,0,70.629934,0.00030000,0.990000,4000,128,10,3,8,400,7
4,nan,nan,0,72.568465,0.00030000,0.990000,4000,128,10,3,8,400,7
5,nan,nan,0,74.545805,0.00030000,0.990000,4000,128,10,3,8,400,7
6,nan,nan,0,76.500310,0.00030000,0.990000,4000,128,10,3,8,400,7
7,nan,nan,0,78.440593,0.00030000,0.990000,4000,128,10,3,8,400,7
8,nan,nan,0,80.424152,0.00030000,0.990000,4000,128,10,3,8,400,7
9,nan,nan,0,82.412238,0.00030000,0.990000,4000,128,10,3,8,400,7
10,nan,nan,0,84.377722,0.00030000,0.990000,4000,128,10,3,8,400,7
11,nan,nan,0,86.316106,0.00030000,0.990000,4000,128,10,3,8,400,7
12,nan,nan,0,88.259994,0.00030000,0.990000,4000,128,10,3,8,400,7
13,nan,nan,0,90.192919,0.00030000,0.990000,4000,128,10,3,8,400,7
14,nan,nan,0,92.092099,0.00030000,0.990000,4000,128,10,3,8,400,7
15,nan,nan,0,94.032734,0.00030000,0.990000,4000,128,10,3,8,400,7
16,nan,nan,0,95.997313,0.00030000,0.990000,4000,128,10,3,8,400,7
17,nan,nan,0,97.939320,0.00030000,0.990000,4000,128,10,3,8,400,7
18,nan,nan,0,99.886918,0.00030000,0.990000,4000,128,10,3,8,400,7
19,nan,nan,0,101.803126,0.00030000,0.990000,4000,128,10,3,8,400,7
20,nan,nan,0,103.741417,0.00030000,0.990000,4000,128,10,3,8,400,7
21,nan,nan,0,105.624557,0.00030000,0.990000,4000,128,10,3,8,400,7
22,nan,nan,0,107.608663,0.00030000,0.990000,4000,128,10,3,8,400,7
23,nan,nan,0,109.572340,0.00030000,0.990000,4000,128,10,3,8,400,7
24,nan,nan,0,111.514010,0.00030000,0.990000,4000,128,10,3,8,400,7
25,nan,nan,0,113.452388,0.00030000,0.990000,4000,128,10,3,8,400,7
26,nan,nan,0,114.598038,0.00030000,0.990000,4000,128,10,3,8,400,7
27,nan,nan,0,116.533564,0.00030000,0.990000,4000,128,10,3,8,400,7
28,nan,nan,0,118.459833,0.00030000,0.990000,4000,128,10,3,8,400,7
29,nan,nan,0,120.411047,0.00030000,0.990000,4000,128,10,3,8,400,7
30,nan,nan,0,122.404200,0.00030000,0.990000,4000,128,10,3,8,400,7
31,nan,nan,0,124.323279,0.00030000,0.990000,4000,128,10,3,8,400,7
32,nan,nan,0,126.290150,0.00030000,0.990000,4000,128,10,3,8,400,7
33,nan,nan,0,128.247385,0.00030000,0.990000,4000,128,10,3,8,400,7
34,nan,nan,0,130.133506,0.00030000,0.990000,4000,128,10,3,8,400,7
35,nan,nan,0,132.096157,0.00030000,0.990000,4000,128,10,3,8,400,7
36,nan,nan,0,133.609905,0.00030000,0.990000,4000,128,10,3,8,400,7
37,nan,nan,0,135.558438,0.00030000,0.990000,4000,128,10,3,8,400,7
38,nan,nan,0,137.524095,0.00030000,0.990000,4000,128,10,3,8,400,7
39,nan,nan,0,139.488714,0.00030000,0.990000,4000,128,10,3,8,400,7
40,nan,nan,0,141.443797,0.00030000,0.990000,4000,128,10,3,8,400,7
41,nan,nan,0,209.363747,0.00030000,0.990000,4000,128,10,3,8,400,7
42,nan,nan,0,211.317811,0.00030000,0.990000,4000,128,10,3,8,400,7
43,nan,nan,0,213.218013,0.00030000,0.990000,4000,128,10,3,8,400,7
44,nan,nan,0,215.183542,0.00030000,0.990000,4000,128,10,3,8,400,7
45,nan,nan,0,217.103995,0.00030000,0.990000,4000,128,10,3,8,400,7
46,nan,nan,0,219.023410,0.00030000,0.990000,4000,128,10,3,8,400,7
47,nan,nan,0,220.972830,0.00030000,0.990000,4000,128,10,3,8,400,7
48,nan,nan,0,222.933823,0.00030000,0.990000,4000,128,10,3,8,400,7
49,nan,nan,0,224.873781,0.00030000,0.990000,4000,128,10,3,8,400,7
50,nan,nan,0,226.807650,0.00030000,0.990000,4000,128,10,3,8,400,7
51,nan,nan,0,228.598487,0.00030000,0.990000,4000,128,10,3,8,400,7
52,nan,nan,0,230.572248,0.00030000,0.990000,4000,128,10,3,8,400,7
53,nan,nan,0,232.533514,0.00030000,0.990000,4000,128,10,3,8,400,7
54,nan,nan,0,234.473534,0.00030000,0.990000,4000,128,10,3,8,400,7
55,nan,nan,0,236.418613,0.00030000,0.990000,4000,128,10,3,8,400,7
56,nan,nan,0,238.356962,0.00030000,0.990000,4000,128,10,3,8,400,7
57,nan,nan,0,240.277170,0.00030000,0.990000,4000,128,10,3,8,400,7
58,nan,nan,0,242.202178,0.00030000,0.990000,4000,128,10,3,8,400,7
59,nan,nan,0,244.109143,0.00030000,0.990000,4000,128,10,3,8,400,7
60,nan,nan,0,246.066462,0.00030000,0.990000,4000,128,10,3,8,400,7
61,nan,nan,0,247.951126,0.00030000,0.990000,4000,128,10,3,8,400,7
62,nan,nan,0,249.879447,0.00030000,0.990000,4000,128,10,3,8,400,7
63,nan,nan,0,251.830064,0.00030000,0.990000,4000,128,10,3,8,400,7
64,nan,nan,0,253.767693,0.00030000,0.990000,4000,128,10,3,8,400,7
65,nan,nan,0,255.706235,0.00030000,0.990000,4000,128,10,3,8,400,7
66,nan,nan,0,257.606902,0.00030000,0.990000,4000,128,10,3,8,400,7
67,nan,nan,0,259.537865,0.00030000,0.990000,4000,128,10,3,8,400,7
68,nan,nan,0,261.458441,0.00030000,0.990000,4000,128,10,3,8,400,7
69,nan,nan,0,263.377325,0.00030000,0.990000,4000,128,10,3,8,400,7
70,nan,nan,0,265.282398,0.00030000,0.990000,4000,128,10,3,8,400,7
71,nan,nan,0,267.175902,0.00030000,0.990000,4000,128,10,3,8,400,7
72,nan,nan,0,269.094887,0.00030000,0.990000,4000,128,10,3,8,400,7
73,nan,nan,0,271.052871,0.00030000,0.990000,4000,128,10,3,8,400,7
74,nan,nan,0,272.992810,0.00030000,0.990000,4000,128,10,3,8,400,7
75,nan,nan,0,274.918231,0.00030000,0.990000,4000,128,10,3,8,400,7
76,nan,nan,0,276.881218,0.00030000,0.990000,4000,128,10,3,8,400,7
77,nan,nan,0,278.803624,0.00030000,0.990000,4000,128,10,3,8,400,7
78,nan,nan,0,280.748953,0.00030000,0.990000,4000,128,10,3,8,400,7
79,nan,nan,0,282.676987,0.00030000,0.990000,4000,128,10,3,8,400,7
80,nan,nan,0,284.607644,0.00030000,0.990000,4000,128,10,3,8,400,7
81,nan,nan,0,286.466059,0.00030000,0.990000,4000,128,10,3,8,400,7
82,nan,nan,0,288.327061,0.00030000,0.990000,4000,128,10,3,8,400,7
83,nan,nan,0,290.234873,0.00030000,0.990000,4000,128,10,3,8,400,7
84,nan,nan,0,291.273719,0.00030000,0.990000,4000,128,10,3,8,400,7
85,nan,nan,0,293.185334,0.00030000,0.990000,4000,128,10,3,8,400,7
86,nan,nan,0,295.105346,0.00030000,0.990000,4000,128,10,3,8,400,7
87,nan,nan,0,297.052094,0.00030000,0.990000,4000,128,10,3,8,400,7
88,nan,nan,0,298.986780,0.00030000,0.990000,4000,128,10,3,8,400,7
89,nan,nan,0,301.007664,0.00030000,0.990000,4000,128,10,3,8,400,7
90,nan,nan,0,302.926708,0.00030000,0.990000,4000,128,10,3,8,400,7
91,nan,nan,0,370.655394,0.00030000,0.990000,4000,128,10,3,8,400,7
92,nan,nan,0,437.510199,0.00030000,0.990000,4000,128,10,3,8,400,7
93,nan,nan,0,439.492723,0.00030000,0.990000,4000,128,10,3,8,400,7
94,nan,nan,0,441.470000,0.00030000,0.990000,4000,128,10,3,8,400,7
95,nan,nan,0,443.442813,0.00030000,0.990000,4000,128,10,3,8,400,7
96,nan,nan,0,445.399542,0.00030000,0.990000,4000,128,10,3,8,400,7
97,nan,nan,0,447.350138,0.00030000,0.990000,4000,128,10,3,8,400,7
98,nan,nan,0,449.300594,0.00030000,0.990000,4000,128,10,3,8,400,7
99,nan,nan,0,451.287542,0.00030000,0.990000,4000,128,10,3,8,400,7
100,nan,nan,0,453.257546,0.00030000,0.990000,4000,128,10,3,8,400,7
101,nan,nan,0,455.176885,0.00030000,0.990000,4000,128,10,3,8,400,7
102,nan,nan,0,457.162853,0.00030000,0.990000,4000,128,10,3,8,400,7
103,nan,nan,0,459.112329,0.00030000,0.990000,4000,128,10,3,8,400,7
104,nan,nan,0,461.108412,0.00030000,0.990000,4000,128,10,3,8,400,7
105,nan,nan,0,463.085143,0.00030000,0.990000,4000,128,10,3,8,400,7
106,nan,nan,0,465.068019,0.00030000,0.990000,4000,128,10,3,8,400,7
107,nan,nan,0,467.013044,0.00030000,0.990000,4000,128,10,3,8,400,7
108,nan,nan,0,469.020319,0.00030000,0.990000,4000,128,10,3,8,400,7
109,nan,nan,0,471.046615,0.00030000,0.990000,4000,128,10,3,8,400,7
110,nan,nan,0,473.160712,0.00030000,0.990000,4000,128,10,3,8,400,7
111,nan,nan,0,474.655729,0.00030000,0.990000,4000,128,10,3,8,400,7
112,nan,nan,0,476.505026,0.00030000,0.990000,4000,128,10,3,8,400,7
113,nan,nan,0,478.453707,0.00030000,0.990000,4000,128,10,3,8,400,7
114,nan,nan,0,480.397403,0.00030000,0.990000,4000,128,10,3,8,400,7
115,nan,nan,0,482.320893,0.00030000,0.990000,4000,128,10,3,8,400,7
116,nan,nan,0,484.281572,0.00030000,0.990000,4000,128,10,3,8,400,7
117,nan,nan,0,485.303441,0.00030000,0.990000,4000,128,10,3,8,400,7
118,nan,nan,0,487.332096,0.00030000,0.990000,4000,128,10,3,8,400,7
119,nan,nan,0,489.329490,0.00030000,0.990000,4000,128,10,3,8,400,7
120,nan,nan,0,490.374660,0.00030000,0.990000,4000,128,10,3,8,400,7
121,nan,nan,0,492.240950,0.00030000,0.990000,4000,128,10,3,8,400,7
122,nan,nan,0,494.221222,0.00030000,0.990000,4000,128,10,3,8,400,7
123,nan,nan,0,496.214355,0.00030000,0.990000,4000,128,10,3,8,400,7
124,nan,nan,0,498.111400,0.00030000,0.990000,4000,128,10,3,8,400,7
125,nan,nan,0,499.967465,0.00030000,0.990000,4000,128,10,3,8,400,7
126,nan,nan,0,501.913462,0.00030000,0.990000,4000,128,10,3,8,400,7
127,nan,nan,0,503.876529,0.00030000,0.990000,4000,128,10,3,8,400,7
128,nan,nan,0,505.823915,0.00030000,0.990000,4000,128,10,3,8,400,7
129,nan,nan,0,507.793092,0.00030000,0.990000,4000,128,10,3,8,400,7
130,nan,nan,0,509.744365,0.00030000,0.990000,4000,128,10,3,8,400,7
131,nan,nan,0,511.643094,0.00030000,0.990000,4000,128,10,3,8,400,7
132,nan,nan,0,513.620162,0.00030000,0.990000,4000,128,10,3,8,400,7
133,nan,nan,0,515.593573,0.00030000,0.990000,4000,128,10,3,8,400,7
134,nan,nan,0,517.549769,0.00030000,0.990000,4000,128,10,3,8,400,7
135,nan,nan,0,519.527775,0.00030000,0.990000,4000,128,10,3,8,400,7
